Source,Target,Dialogue
Clara,Daisy,"""It 's evident Daisy isn't out yet"""
Jo,Meg,"""Let Marmee think we are getting things for ourselves , and then surprise her . We must go shopping tomorrow afternoon , Meg . There is so much to do about the play for Christmas night"""
Jo,Meg,"""I do believe Marmee would ask that if we were all running away from an earthquake."""
Jo,Meg,"""If Marmee shook her fist instead of kissing her hand to us, it would serve us right, for more ungrateful wretches than we are were never seen,"""
Jo,Marmee,"""You asked me the other day what my wishes were . I'll tell you one of them, Marmee"""
Jo,Marmee,"""Yes, Marmee, do you want anything in town? I've got to run in and get some paper"""
Jo,Meg,"""And so nice of Annie Moffat not to forget her promise . A whole fortnight of fun will be regularly splendid"""
Aunt March,Jo,"""Josy-phine!"""
Beth,Jo,"""Jo, dear, don't hope any more.  It won't do any good.  I'm sure of that.  We won't be miserable, but enjoy being together while we wait. We'll have happy times, for I don't suffer much, and I think the tide will go out easily, if you help me."""
Jo,Amy,"""Hurry and get done! Don't stop to quirk your little finger and simper over your plate, Amy"""
Jo,Meg,"""Now, Meg, be quiet or you will spoil it all"""
Jo,Amy,"""You can't go, Amy , so don't be a baby and whine about it."""
Jo,Miss. Lamb,"""Oh, Amy painted it.  You can't buy those soft shades, so we paint ours any color we like.  It's a great comfort to have an artistic sister."""
Jo,Amy,"""What a good girl you are, Amy!"""
Jo,Amy,"""Come, Amy"""
Jo,Amy,"""You've a deal more principle and generosity and nobleness of character than I ever gave you credit for, Amy. You've behaved sweetly, and I respect you with all my heart,"""
Jo,Marmee,"""It's always so.  Amy has all the fun and I have all the work. It isn't fair, oh, it isn't fair!"""
Jo,Beth,"""Ask Hannah for some nice little mess , and take it round , Beth , the air will do you good"""
Jo,Beth,"""Good-by, my Beth. Good-by!"""
Jo,Beth,"""What are you thinking of, Beth?"""
Jo,Beth,"""If I can.  But, Beth, I don't give up yet.  I'm going to believe that it is a sick fancy, and not let you think it's true."""
Jo,Beth,"""I'll try, Beth"""
Amy,Esther,"""Do you think so?  Oh, I'll be a lamb, if I can only have that lovely ring!  It's ever so much prettier than Kitty Bryant's.  I do like Aunt March after all."""
Amy,Meg,"""Beth and I are going over to Kitty Bryant's to get more flowers for tomorrow,"""
Amy,Jo,"""Please forgive me, Jo. I 'm very, very sorry"""
Amy,Jo,"""Now, Jo dear, the Chesters consider themselves very elegant people , so I want you to put on your best deportment . Don't make any of your abrupt remarks , or do anything odd , will you ? Just be calm , cool , and quiet , that 's safe and ladylike , and you can easily do it for fifteen minutes"""
Amy,Jo,"""Don't do anything rude , pray Jo ; I won't have any fuss made , so let it all pass and behave yourself"""
Amy,Marmee,"""I want to ask a favor of you, Mamma"""
Amy,Meg,"""You can't say nothing pleasant ever happens now, can you, Meg"""
Amy,Beth,"""Now, Beth"""
Meg,Marmee,"""Now, Marmee, that is very cunning of you to turn our own stories against us, and give us a sermon instead of a romance!"""
Meg,Marmee,"""The first kiss for Marmee!"""
Meg,Jo,"""Now don't forget to keep the bad breadth out of sight , Jo. Is my sash right ? And does my hair look very bad?"""
Meg,Jo,"""How ridiculous you are, Jo!"""
Meg,Jo,"""It was dreadfully provoking, but you kept your temper, and I 'm so glad, Jo."""
Meg,Jo,"""You have been running, Jo. How could you ? When will you stop such romping ways?"""
Meg,Amy,"""As for you, Amy"""
Meg,Amy,"""In debt, Amy? What do you mean?"""
Jo,Marmee,"""Of course not.  It would be idiotic!  I knew there was mischiefbrewing.  I felt it, and now it's worse than I imagined. I just wish I could marry Meg myself, and keep her safe in the family."""
Meg,Beth,"""Beth , if you do n't keep these horrid cats down cellar I 'll have them drowned"""
Beth,Jo,"""I don't see how you can write and act such splendid things, Jo. You're a regular Shakespeare!"""
Beth,Jo,"""I knew it! I knew it! Oh, my Jo, I am so proud!"""
Beth,Jo,"""Can't you, Jo?"""
Beth,Jo,"""Jo, please."""
Beth,Jo,"""Jo, dear, I'm very selfish, but I couldn't spare you, and I'm glad you are not going quite yet"""
Beth,Jo,"""Jo, dear, I'm glad you know it. I've tried to tell you, but I couldn't"""
Beth,Amy,"""Hannah left it on the kitchen table a minute, and the kittens got at it. I'm very sorry, Amy"""
Jo,Beth,"""Oh, Beth, come back!  Come back!"""
